name,vault,leader,tvl,relationship,depositors_in_db,roster,on_tape
22Cap,0xba939edf38c0ae0cc689c98b492e0535f43e4550,0xa7fd61557cd0a61073566766839d5f851a8e92ef,201292,normal,-,-,-
Stratwise Multi-Asset Public,0x0ff219ac20596b457558341bc410bc7a08a1394c,0xed6bf35cba1f5e2edfd2955505904dbd605ab121,188559,normal,-,-,-
Abs Return Sophon Quant,0x35d92bd6571d0bdc5413250b28692e6be905d67b,0x1934aa5aeea8c6f5ef7e91d597b26d65cdcbf237,185706,normal,-,-,-
Jay Pennies to Jay Dollars,0x3b4f22366857da94f9346f88eac84718c8a8d48d,0x20a510e57a5d17fd0a07d4d7435db2854ea5ced0,176915,normal,-,-,-
alpha-032,0x7d97f7cb48ecc966d75a746b811ca93f1fd6e7ef,0x11eaed910eefa22056ef5d2aefb0d632cc0f6906,170326,normal,-,-,-
"FuturAI Labs - High Sharpe, Low Volatility",0xb65dd7c56afbf3b272ab5fc49be44b47dca18003,0x92f33bee92dd86db292e3bc8500ffc5619d50430,168361,normal,-,-,-
Pulse@Evo-α,0x22a60014185f1486afb045219f76e4007fb71e4e,0x12b37ace7d1145cdc367347c9f8470eaeb35bdf7,159212,normal,-,-,-
Tera Liquid,0x15a141990fc6591838646467273c41c92999772f,0x8803d442d3b15908f9838924a2b196e32cd6ae8e,157396,normal,-,-,-
Realist Capital,0x77fee2df7bad4f1db93052fa82bf78eaab771a16,0x288ed4efc8fbd1e42a06fe083ea942d20c90b336,156396,normal,-,-,-
CVTB,0x65c6b7f0e9a6f72b351ca133e510a2329d047dbe,0x8382655426c1fe72709a7ad028b1547130ed8007,156367,normal,-,-,-
Cold Process,0xc3b1bf1f1e6fb8161ef4dc2f34e2c56f70b94b11,0xfca598f25c38f1836daf58104e4255d786b1c53d,150504,normal,-,-,-
Overdose,0xe67dbf2d051106b42104c1a6631af5e5a458b682,0xdeb7582b362a752970fbd2507d0fb5dd27ed379a,149895,normal,-,-,-
Crypto Trading Channel,0x51b62b4bf8df6f2795b3da30cb46aa47f9f230a8,0x8c8290ebf5d157b236948b9f66d09d426503f198,149321,normal,-,-,-
Akka Hyper AI,0x0e008684ae576f280c5426a89d3f5e1da1fc7398,0x190c5972c541afdcbc43616c091abd18cde8c1ef,148568,normal,-,-,-
Wonderland,0x9a88dd4eacc3aa561c4f50ec66bcede831bec813,0x228ed7bff391e92ba3ddcbcda8db7a0134ef2587,147626,normal,-,-,-
HyperTwin - Growi HF 2x,0x15be61aef0ea4e4dc93c79b668f26b3f1be75a66,0x98bb9ef6b6bf918ce301be1e3fa14407b1d949a2,146971,normal,-,-,-
KARAVELA VAULTS,0x8825e6ed11c7f9c0874579c9f4bba192b9e81c8f,0x0483797d914cf3a104b16a4c277c8f43fe484008,140672,normal,-,-,-
Cryptoaddcited,0x5108cd0a328ed28c277f958761fe1cda60c21aa8,0x6a4590697be32f65757d1fd480716a73961404fd,131439,normal,-,-,-
korea wins again,0x8b82d6e0b60e8a8cda97afcdf1aaae569e3747b8,0xd4ed6f78ee9540aa95a41939cf346830165bb75b,123617,normal,-,-,-
Sentiment Edge,0xb7e7d0fdeff5473ed6ef8d3a762d096a040dbb18,0x3b290def8e0b287a2c8ac0ae1ab31642caecc7e7,112798,normal,-,-,-
Goon Edging,0x2431edfcb662e6ff6deab113cc91878a0b53fb0f,0x90b88a8df1ad60f87b30032482b9907b89637c96,109715,normal,-,-,-
Aquila Chrysaetos,0x50e2fe552727a4b8692c192b4f96d1a6b0d44394,0x58206237b3fcfcbb4c9b60317cf652a29089f224,105494,normal,-,-,-
long long long,0xc2d221a27eb58f5879d0400ccec8956a01634fab,0xadf118d8044becb92b2689f3fb825e53195bec12,100050,normal,-,-,-
