2025-11-09 18:26:28 | INFO | __main__ | Initializing TWAP Tracker with Order-Size Classification
2025-11-09 18:26:28 | INFO | api_client.hypurrscan_client | HypurrScan client initialized
2025-11-09 18:26:28 | INFO | json_logger | JSON logger initialized: json_logs
2025-11-09 18:26:28 | INFO | twap_state_tracker | Loaded 758 addresses from history
2025-11-09 18:26:28 | INFO | twap_state_tracker | TWAP State Tracker initialized for HYPE
2025-11-09 18:26:28 | INFO | api_client.hyperliquid_client | Hyperliquid client initialized: https://api.hyperliquid.xyz
2025-11-09 18:26:28 | ERROR | trader_metrics_manager | Error loading metrics: Expecting value: line 1 column 1 (char 0)
2025-11-09 18:26:28 | INFO | trader_metrics_manager | TraderMetricsManager initialized: light=6h, deep=24h
2025-11-09 18:26:28 | INFO | __main__ | Hyperliquid client and metrics manager initialized
2025-11-09 18:26:28 | INFO | __main__ | TWAP Tracker initialized for: HYPE
2025-11-09 18:26:28 | INFO | __main__ | Order-size based classification enabled
2025-11-09 18:26:28 | INFO | __main__ | Starting TWAP tracking loop
2025-11-09 18:26:28 | INFO | __main__ | Base cycle: 10s
2025-11-09 18:26:28 | INFO | __main__ | TWAP fetch interval: 60s
2025-11-09 18:27:18 | INFO | api_client.hypurrscan_client | Starting data collection for: HYPE
2025-11-09 18:27:18 | INFO | api_client.hypurrscan_client | Fetching whale activity for: HYPE
2025-11-09 18:27:18 | INFO | api_client.hypurrscan_client | Got HYPE holders
2025-11-09 18:27:19 | INFO | api_client.hypurrscan_client | Processing 10 HYPE TWAP orders...
2025-11-09 18:27:19 | INFO | api_client.hypurrscan_client | HYPE TWAP: 10 SPOT, 0 PERP
2025-11-09 18:27:19 | INFO | api_client.hypurrscan_client | Status: 8 active, 2 inactive
2025-11-09 18:27:19 | INFO | api_client.hypurrscan_client | Fetching network health...
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Network health: 203075 addresses
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Data Collection Complete:
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Working endpoints: 2
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Failed endpoints: 0
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Success rate: 100.0%
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Data points: 11
2025-11-09 18:27:22 | INFO | api_client.hypurrscan_client | Fetch time: 4.5s
2025-11-09 18:27:22 | INFO | twap_state_tracker | [HYPE] UPDATE #1
2025-11-09 18:27:22 | INFO | twap_state_tracker | Orders: 8 active, 10 total | Pressure/min: Buy 239.5, Sell 3.5, Net +236.0
2025-11-09 18:27:22 | INFO | twap_state_tracker | Active orders (8):
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0x9206...5f57 BUY      39,544 SPOT   5.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0xbeac...c264 BUY       4,430 SPOT   1.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0x16ef...622f SELL      2,505 SPOT  24.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0x16ef...622f SELL      2,504 SPOT  24.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0xc201...0b40 BUY       1,606 SPOT   2.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0x83c9...a339 BUY         719 SPOT  24.0h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0xa5eb...dbdd BUY         500 SPOT   0.5h active
2025-11-09 18:27:22 | INFO | twap_state_tracker |   0xb5e8...b806 BUY         498 SPOT   2.5h active
2025-11-09 18:27:22 | INFO | trader_metrics_manager | Registered 758 new addresses
2025-11-09 18:27:23 | INFO | trader_metrics_manager | ✅ UXPL: Included - $2402729.77 (price: $0.289955)
2025-11-09 18:27:28 | INFO | trader_metrics_manager | ✅ HYPE: Included - $450.94 (price: $41.209500)
2025-11-09 18:27:39 | INFO | api_client.hyperliquid_client | Loaded spot token map with 398 tokens
2025-11-09 18:27:58 | INFO | trader_metrics_manager | ✅ HYPE: Included - $2089212.13 (price: $41.211500)
2025-11-09 18:28:08 | INFO | trader_metrics_manager | ✅ UBTC: Included - $1177.32 (price: $103620.500000)
2025-11-09 18:28:18 | INFO | api_client.hypurrscan_client | Starting data collection for: HYPE
2025-11-09 18:28:18 | INFO | api_client.hypurrscan_client | Fetching whale activity for: HYPE
2025-11-09 18:28:18 | INFO | api_client.hypurrscan_client | Got HYPE holders
2025-11-09 18:28:19 | INFO | api_client.hypurrscan_client | Processing 10 HYPE TWAP orders...
2025-11-09 18:28:19 | INFO | api_client.hypurrscan_client | HYPE TWAP: 10 SPOT, 0 PERP
2025-11-09 18:28:19 | INFO | api_client.hypurrscan_client | Status: 8 active, 2 inactive
2025-11-09 18:28:19 | INFO | api_client.hypurrscan_client | Fetching network health...
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Network health: 203075 addresses
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Data Collection Complete:
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Working endpoints: 2
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Failed endpoints: 0
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Success rate: 100.0%
2025-11-09 18:28:22 | INFO | api_client.hypurrscan_client | Data points: 11
