class,hash,time,token,type,amount,from,to,px
PERP,0x035dcd05320c7cc904d7042fb1bed40204d400eacd0f9b9ba7267857f10056b3,1763437885335,ETH-USD,Open Long,0.0601,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x10503e672033b92f11c9042fb1bed00205c3004cbb36d801b418e9b9df379319,1763437885088,ETH-USD,Open Long,0.0474,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x97a68115be6268ad9920042fb1becc0209b200fb5965877f3b6f2c687d664298,1763437884829,ETH-USD,Open Long,0.2165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1985300e3e9c1c431afe042fb1becc0209ad00f3d99f3b15bd4ddb60fd9ff62d,1763437884829,ETH-USD,Open Long,0.0044,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x6e2c755525c1a81d6fa6042fb1becc020998003ac0c4c6ef11f520a7e4c58208,1763437884829,ETH-USD,Open Long,0.331,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0afe9a340b1782280c78042fb1becb02037a0019a61aa0faaec74586ca1b5c12,1763437884730,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xe8d75e0744846527ea51042fb1bec90203b300ecdf8783f98ca0095a03883f12,1763437884528,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xea0b7b4f67d8813deb85042fb1bec702063a003502dba00f8dd426a226dc5b28,1763437884327,ETH-USD,Open Long,0.0661,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x117b56e4b609e55d12f5042fb1bec702061500ca510d042fb5440237750dbf47,1763437884327,ETH-USD,Open Long,80.6287,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x5ea7e0499c78a2e16021042fb1bec7020614002f377bc1b302708b9c5b7c7ccc,1763437884327,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xdf62f252658a4bfce0dc042fb1bec6020c510105008d6ace832b9da5248e25e7,1763437884223,ETH-USD,Open Long,0.1653,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1bc5a01a25f69bd01d3f042fb1bec6020c3100ffc0f9baa2bf8e4b6ce4fa75ba,1763437884223,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1f82fe0b265a02fb20fc042fb1bec6020c2700f0c15d21cdc34ba95de55ddce5,1763437884223,ETH-USD,Open Long,0.0496,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xa161ad03a683b690a2db042fb1bec6020c2200e94186d562452a58566587907b,1763437884223,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x4500672f942e495c467a042fb1bec50207d100152f21682ee8c9128253222346,1763437884088,ETH-USD,Open Long,1.1579,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd1afdd37ece48281d329042fb1bec202068c001d87e7a1537578888aabe85c6c,1763437883889,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1edc669cd35340062056042fb1bec202068b00826e565ed8c2a511ef925719f0,1763437883889,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd99915a64d51fcf3db12042fb1bec10208f0008be8551bc57d61c0f90c55d6de,1763437883698,ETH-USD,Open Long,0.0496,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xf98e35599acc92bcfb07042fb1bec10208df003f35cfb18f9d56e0ac59c06ca7,1763437883698,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x46babebe813b50414834042fb1bec10208de00a41c3e6f13ea836a11403f2a2b,1763437883698,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x7b6ce4521af646527ce6042fb1bec10208da0037b5f965241f358fa4d9fa203d,1763437883698,ETH-USD,Open Long,0.0496,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x15c5f71be7d3c15b173f042fb1bec10208d8000182d6e02db98ea26ea6d79b45,1763437883698,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x97a4a614680d74f0991e042fb1bec10208d300fa030093c23b6d516727014edb,1763437883698,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1983550ce83728861afd042fb1bec10208ce00f2833a4758bd4c005fa73b0270,1763437883698,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x66afde71cea5e60a6829042fb1bec10208cd005769a904dc0a7889c48da9bff5,1763437883698,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0108f13b9b8361130282042fb1bec10208cb002136867fe5a4d19c8e5a873afd,1763437883698,ETH-USD,Open Long,0.0495,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xb58f959c6b08ae48b709042fb1bec10208830082060bcd1a595840ef2a0c8833,1763437883698,ETH-USD,Open Long,7.2274,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x02bc1f0151776bcd0435042fb1bec102088200e6ec7a8a9fa684ca54107b45b7,1763437883698,ETH-USD,Open Long,31.3833,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x5fa3e2afcc7ca81e611d042fb1bec00205770095677fc6f0036c8e028b708209,1763437883697,ETH-USD,Open Long,0.331,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x9456084366379e2f95cf042fb1bec00205730029013abd01381eb396253b781a,1763437883697,ETH-USD,Open Long,8.0652,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x2eaf1b0d331519383028042fb1bec002057100f2ce18380ad277c65ff218f322,1763437883697,ETH-USD,Open Long,0.006,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x7bdba4721983d6bc7d55042fb1bec00205700057b486f58e1fa44fc4d887b0a7,1763437883697,ETH-USD,Open Long,0.0476,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1634b73be66151c517ae042fb1bec002056e002181647097b9fd628ea5652baf,1763437883697,ETH-USD,Open Long,6.4903,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xb08dca05b34ecccdb207042fb1bec002056c00eb4e41eb9f545675587242a6b8,1763437883697,ETH-USD,Open Long,33.365,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd09a85a99b502f22d214042fb1bebf02045a008f36534df4746330fc5a54090d,1763437883618,ETH-USD,Open Long,172.4653,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x1dc70f0e81ceeca71f40042fb1bebf02045900f41cc20b79c18fba6140c2c691,1763437883618,ETH-USD,Open Long,1.5269,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
